1000		CHINA
1000		SLOVENIA
1001		CHINA
1003		FRANCE
1007		IRAQ
1010		TURKEY
1013		ICELAND
1021		SWITZERLAND
1033		SYRIA
1037		CHINA
1040		TUNISIA
1042		IRAN
1045		TURKEY
1048		UK
1052		IRAN
1052		IRAN
1058		IRAQ
105		TURKEY
1063		LEBANON
1063		TURKEY
1064		TURKEY
1065		IRAN
1065		ITALY
1066		IRAN
1068		ISRAEL
1070		EGYPT
1072		YEMEN
1076		SYRIA
1082		TURKEY
1085		IRAN
1085		TURKEY
1086		IRAQ
1086		ITALY
1089		SYRIA
1091		TURKEY
109		TURKEY
1102		CHINA
1106		TURKEY
1109		TURKEY
1111		TURKEY
1114		ITALY
1114		TURKEY
1114		TURKEY
1115		IRAN
1115		TURKEY
1115		TURKEY
1117		ITALY
1117		ITALY
1118		UK
1125		ITALY
1130		IRAQ
1130		IRAQ
1137		IRAQ
1137		ITALY
1139		AZERBAIJAN
1149		IRAQ
1151		PORTUGAL
1153		GREECE
1155		ITALY
1155		SYRIA
1156		SYRIA
1157		SYRIA
1158		SYRIA
1164		ICELAND
1169		ITALY
1169		SYRIA
1171		LEBANON
1172		ITALY
1175		IRAN
1176		IRAN
1179		TURKEY
1180		ITALY
1182		ICELAND
1183		SYRIA
1184		ITALY
11		TURKEY
1201		SLOVENIA
1202		CHINA
1211		EGYPT
1222		CYPRUS
1222		ITALY
1223		ITALY
1227		FRANCE
1231		ITALY
1237		ALBANIA
1237		ALBANIA
1237		IRAN
1248		ITALY
1255		NEPAL
1259		ITALY
1268		TURKEY
1269		TURKEY
1272		IRAN
1273		ITALY
1276		MOROCCO
1279		ITALY
1280		CROATIA
1280		CROATIA
1280		IRAN
1284		SYRIA
1286		FRANCE
1289		CHINA
1289		FRANCE
1291		IRAN
1293		ISRAEL
1295		SWITZERLAND
1295		SWITZERLAND
1298		ITALY
1300		CROATIA
1300		ITALY
1301		IRAN
1303		GREECE
1306		GREECE
1306		IRAN
1310		CHINA
1319		IRAN
1319		ITALY
1320		PORTUGAL
1323		CROATIA
1328		ITALY
1329		ITALY
1332		TURKEY
1336		IRAN
1339		LEBANON
1340		CHINA
1343		CHINA
1343		CROATIA
1343		SYRIA
1344		IRAN
1344		PORTUGAL
1345		ITALY
1346		SWITZERLAND
1347		CHINA
1348		AUSTRIA
1349		ITALY
1352		ITALY
1353		TURKEY
1354		SYRIA
1356		PORTUGAL
1356		SWITZERLAND
1358		YEMEN
1359		ALGERIA
1360		IRAN
1361		ITALY
1365		ALGERIA
-1365		SYRIA
1367		IRAN
1374		SPAIN
1375		SWITZERLAND
1377		YEMEN
1380		ALBANIA
1382		IRAN
1383		TURKEY
1384		GREECE
1386		BOSNIA-HERZEGOVINA
1387		CROATIA
1387		YEMEN
1389		GREECE
1389		IRAN
1390		CROATIA
1391		SWITZERLAND
1399		CROATIA
1400		IRAN
1400		IRAN
1402		SYRIA
1403		SYRIA
1404		SYRIA
1407		TURKEY
1408		TURKEY
1414		ITALY
1417		ITALY
1418		CROATIA
1419		TURKEY
1426		YEMEN
1427		SPAIN
1428		FRANCE
1431		SPAIN
1441		IRAN
1441		TURKEY
1443		SLOVAKIA
1444		BULGARIA
1444		TURKEY
1447		ITALY
-1450		ITALY
1451		CROATIA
1454		SWITZERLAND
1454		SWITZERLAND
1456		ITALY
1456		SERBIA AND MONTENEGRO
1456		TURKEY
1457		ISRAEL
1458		ISRAEL
1458		TURKEY
1459		CROATIA
1461		ITALY
1461		ITALY
1463		YEMEN
1464		SPAIN
1469		GREECE
1471		CROATIA
1479		CROATIA
1481		GREECE
1481		GREECE
1481		ITALY
1482		CROATIA
1483		GREECE
1484		IRAN
1489		TURKEY
1490		GREECE
1490		IRELAND
1491		GREECE
1493		GREECE
1494		FRANCE
1494		FRANCE
1496		CROATIA
1498		VENEZUELA
1499		CHINA
1500		CHINA
1500		USA
1501		GREECE
1502		CROATIA
1502		DOMINICAN REPUBLIC
1504		CROATIA
1504		SPAIN
1504		SWITZERLAND
